Sprint Day	Date	Task ID	Assigned To	Module	Task	What it means (simple words)	Priority	Est. Hours	Status
Day 3	18/07/2026	DSK-306	Ram	Inward	Who brought the material	A field for who delivered it (own staff, or courier like Blue Dart / DTDC).	P1	0.25	To Do
Day 3	18/07/2026	DSK-307	Ram	Inward	Attach the invoice file	Optional: attach a PDF or photo of the supplier's invoice.	P2	0.75	To Do
Day 3	18/07/2026	DSK-308	Ram	Inward	Save Inward and add stock	Save the receipt and increase the product's stock through the safe database function.	P0	1	To Do
Day 3	18/07/2026	DSK-309	Ram	Inward	Inward success screen	Confirm the receipt was saved and show the new stock total.	P1	0.5	To Do
Day 3	18/07/2026	DSK-310	Ram	Outward	Build the Outward page	Build the "give out or sell stock" screen.	P0	1	To Do
Day 3	18/07/2026	DSK-311	Ram	Outward	Pick the product	Scan or search to choose the product going out.	P0	0.5	To Do
Day 3	18/07/2026	DSK-312	Ram	Outward	Show available stock	Display how many units are available before the user enters the outward.	P0	0.5	To Do
Day 3	18/07/2026	DSK-313	Ram	Outward	Quantity with a warning	Enter the quantity and warn on screen if it is more than what's available.	P0	0.75	To Do
Day 3	18/07/2026	DSK-314	Ram	Outward	Outward type dropdown	Choose the reason: Sale, Demo, Replacement, Internal Use, Service or Sample.	P0	0.5	To Do
Day 3	18/07/2026	DSK-315	Ram	Outward	Party / school details	Fields for school name, contact person, mobile, GST, address, invoice and sales order number.	P0	1	To Do
Day 3	18/07/2026	DSK-316	Ram	Outward	Handed over by and receiver	Record who handed over the material and who collected it.	P1	0.5	To Do
Day 3	18/07/2026	DSK-317	Ram	Outward	Signature or photo proof	Optional proof of delivery: a signature or a photo.	P2	1	To Do
Day 3	18/07/2026	DSK-318	Ram	Outward	Save Outward and reduce stock	Save the dispatch and reduce stock; the database blocks it if there isn't enough.	P0	1	To Do
Day 3	18/07/2026	DSK-319	Ram	Outward	Friendly "not enough stock"	Show a clear "Only X left in stock" message instead of a confusing technical error.	P0	0.5	To Do
Day 3	18/07/2026	DSK-320	Ram	Outward	Stop accidental double-save	Disable the Save button while saving so one click can never create two entries.	P0	0.5	To Do
Day 4	19/07/2026	DSK-401	Ram	Dashboard	Build the Dashboard page	Build the home screen made of quick summary cards.	P0	1	To Do
Day 4	19/07/2026	DSK-402	Ram	Dashboard	Current stock card	A card showing the total current stock at a glance.	P1	0.5	To Do
Day 4	19/07/2026	DSK-403	Ram	Dashboard	Today's inward card	A card showing how much stock came in today.	P1	0.5	To Do
Day 4	19/07/2026	DSK-404	Ram	Dashboard	Today's outward card	A card showing how much stock went out today.	P1	0.5	To Do
Day 4	19/07/2026	DSK-405	Ram	Dashboard	Low stock card	A card showing how many products are below their minimum level.	P1	0.5	To Do
Day 4	19/07/2026	DSK-406	Ram	Reports	Current stock report	A table of every product with its current, minimum and available stock.	P0	1	To Do
Day 4	19/07/2026	DSK-407	Ram	Reports	Low stock report	A list of only the products at or below their minimum level.	P1	0.5	To Do
Day 4	19/07/2026	DSK-408	Ram	Reports	Out of stock report	A list of products that have zero stock left.	P1	0.5	To Do
Day 4	19/07/2026	DSK-409	Ram	Reports	Inward report	Show receipts, filtered by date, supplier or product.	P0	1	To Do
Day 4	19/07/2026	DSK-410	Ram	Reports	Outward report	Show dispatches, filtered by date, school, invoice or sales person.	P0	1	To Do
Day 4	19/07/2026	DSK-411	Ram	Reports	Product ledger	Show one product's full history: date, in or out, quantity, and balance after.	P0	1	To Do
Day 4	19/07/2026	DSK-412	Ram	Reports	Date range filter	Add "from" and "to" date pickers to every report.	P1	0.5	To Do
Day 4	19/07/2026	DSK-413	Ram	Reports	Export to Excel	Let the user download any report as an Excel file.	P1	1	To Do
Day 4	19/07/2026	DSK-414	Ram	Reports	Export to PDF	Let the user download or print any report as a PDF.	P1	1	To Do
Day 4	19/07/2026	DSK-415	Ram	Search	Global search page	One search that looks across barcodes, products, suppliers, invoices, schools and dates.	P1	1	To Do
Day 4	19/07/2026	DSK-416	Ram	Backup	Daily automatic backup	Automatically save a copy of the data every day.	P1	1	To Do
Day 4	19/07/2026	DSK-417	Ram	Backup	Restore from backup	The ability to load the data back from a saved backup copy.	P2	1	To Do
Day 4	19/07/2026	DSK-418	Ram	Ship	Full end-to-end test	Walk through the whole flow: add product, receive stock, give out stock, check the report.	P0	1	To Do
Day 4	19/07/2026	DSK-419	Ram	Ship	Build the .exe installer	Package everything into a Windows installer (.exe) that can be shared.	P0	1	To Do
Day 4	19/07/2026	DSK-420	Ram	Ship	Install and verify	Install the .exe on a clean PC and confirm it opens, logs in and connects.	P0	1	To Do
